iter	RMSE
0	13.90465559
1	13.06099697
2	12.27765307
3	11.54442187
4	10.91063349
5	10.37590617
6	9.921058182
7	9.57043946
8	9.124289243
9	8.718731545
10	8.326442761
11	8.045806767
12	7.779556617
13	7.546331734
14	7.308528617
15	7.122887256
16	6.92795909
17	6.725803943
18	6.573095546
19	6.435981637
20	6.329118488
21	6.241531776
22	6.127321164
23	6.028412391
24	5.938286777
25	5.855527852
26	5.776534543
27	5.716864592
28	5.658137932
29	5.60953141
30	5.565099424
31	5.517441165
32	5.476337176
33	5.447145647
34	5.399536006
35	5.350861607
36	5.316615496
37	5.296852177
38	5.269548432
