iter	Passed	Remaining
0	1	119
1	2	107
2	3	111
3	4	107
4	5	109
5	7	113
6	8	112
7	9	113
8	11	112
9	12	112
10	13	111
11	15	111
12	16	108
13	17	106
14	18	105
15	19	104
16	21	104
17	23	105
18	24	103
19	25	101
20	26	99
21	27	97
22	28	96
23	30	95
24	31	93
25	32	92
26	33	91
27	35	91
28	36	90
29	38	89
30	39	87
31	40	86
32	41	84
33	43	84
34	44	82
35	45	80
36	46	79
37	47	77
38	48	75
39	49	74
40	50	73
41	51	70
42	52	69
43	53	67
44	53	65
45	54	64
46	55	62
47	56	61
48	57	60
49	58	58
50	59	57
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	73	41
64	75	40
65	75	39
66	76	37
67	78	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	30
73	83	29
74	85	28
75	86	27
76	87	26
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	101	7
93	102	6
94	103	5
95	105	4
96	105	3
97	106	2
98	107	1
99	109	0
