iter	Passed	Remaining
0	165	165574
1	167	83619
2	169	56244
3	171	42579
4	172	34360
5	174	28853
6	176	24968
7	177	22042
8	179	19749
9	181	17936
10	182	16427
11	184	15203
12	186	14145
13	188	13242
14	189	12447
15	191	11772
16	193	11170
17	194	10637
18	196	10155
19	198	9734
20	200	9346
21	202	9005
22	204	8679
23	206	8394
24	208	8117
25	209	7863
26	211	7629
27	213	7407
28	215	7204
29	217	7019
30	218	6840
31	220	6674
32	222	6516
33	224	6371
34	225	6224
35	227	6093
36	229	5968
37	231	5852
38	232	5739
39	234	5625
40	236	5527
41	237	5426
42	239	5335
43	241	5243
44	243	5159
45	244	5075
46	246	4992
47	247	4918
48	249	4833
49	250	4763
50	252	4700
51	254	4634
52	255	4560
53	257	4503
54	258	4444
55	260	4389
56	262	4336
57	264	4288
58	266	4243
59	267	4191
60	268	4137
61	270	4089
62	271	4042
63	273	3997
64	274	3955
65	276	3909
66	277	3859
67	278	3812
68	279	3769
69	280	3725
70	281	3684
71	282	3643
72	283	3602
73	284	3562
74	285	3522
75	286	3483
76	287	3445
77	288	3407
78	289	3371
79	290	3335
80	291	3302
81	292	3269
82	292	3231
83	293	3199
84	294	3167
85	295	3136
86	295	3105
87	296	3075
88	297	3045
89	298	3017
90	299	2989
91	300	2962
92	300	2934
93	301	2909
94	302	2882
95	303	2856
96	304	2831
97	305	2808
98	305	2784
99	306	2761
100	307	2738
101	308	2715
102	309	2693
103	310	2671
104	310	2649
105	311	2628
106	312	2607
107	313	2586
108	314	2566
109	314	2546
110	315	2527
111	316	2508
112	317	2489
113	318	2471
114	318	2454
115	319	2436
116	320	2418
117	321	2400
118	322	2384
119	322	2367
120	323	2350
121	324	2333
122	325	2318
123	325	2302
124	326	2287
125	327	2272
126	328	2256
127	329	2241
128	329	2227
129	330	2212
130	331	2198
131	332	2184
132	333	2170
133	333	2157
134	334	2144
135	335	2131
136	336	2118
137	337	2105
138	337	2093
139	338	2080
140	339	2068
141	340	2054
142	340	2043
143	341	2031
144	342	2019
145	343	2007
146	344	1996
147	344	1985
148	345	1974
149	346	1963
150	347	1952
151	348	1941
152	348	1931
153	349	1920
154	350	1910
155	351	1900
156	351	1889
157	352	1879
158	353	1870
159	354	1860
160	354	1849
161	355	1840
162	356	1830
163	357	1821
164	358	1812
165	358	1803
166	359	1794
167	360	1785
168	361	1776
169	362	1768
170	362	1759
171	363	1751
172	364	1742
173	365	1734
174	366	1726
175	367	1718
176	367	1710
177	368	1702
178	369	1694
179	370	1686
180	370	1678
181	371	1671
182	372	1663
183	373	1656
184	374	1649
185	375	1641
186	375	1633
187	376	1626
188	377	1619
189	378	1612
190	378	1604
191	379	1597
192	380	1591
193	381	1584
194	382	1577
195	382	1570
196	383	1563
197	384	1556
198	385	1550
199	385	1543
200	386	1537
201	387	1531
202	388	1525
203	389	1518
204	390	1512
205	390	1506
206	391	1500
207	392	1494
208	393	1488
209	394	1483
210	394	1476
211	395	1471
212	396	1465
213	397	1459
214	398	1454
215	399	1448
216	399	1442
217	400	1437
218	401	1432
219	402	1427
220	403	1422
221	404	1416
222	405	1411
223	405	1406
224	406	1400
225	407	1395
226	408	1390
227	409	1385
228	409	1379
229	410	1374
230	411	1369
231	412	1364
232	412	1359
233	413	1354
234	414	1349
235	415	1344
236	416	1339
237	416	1334
238	417	1329
239	418	1325
240	419	1320
241	420	1315
242	420	1311
243	421	1306
244	422	1301
245	423	1297
246	423	1292
247	424	1287
248	425	1283
249	426	1278
250	427	1274
251	427	1269
252	428	1265
253	429	1261
254	430	1256
255	431	1252
256	431	1248
257	432	1244
258	433	1240
259	434	1236
260	435	1232
261	435	1227
262	436	1223
263	437	1219
264	438	1215
265	438	1211
266	439	1207
267	440	1203
268	441	1199
269	442	1195
270	443	1191
271	443	1187
272	444	1184
273	445	1181
274	446	1177
275	447	1173
276	448	1169
277	448	1165
278	449	1161
279	450	1158
280	451	1154
281	451	1150
282	452	1147
283	453	1143
284	454	1139
285	455	1136
286	455	1132
287	456	1128
288	457	1125
289	458	1122
290	459	1118
291	460	1115
292	460	1112
293	461	1108
294	462	1105
295	463	1101
296	464	1098
297	464	1095
298	465	1091
299	466	1088
300	467	1085
301	468	1081
302	468	1078
303	469	1074
304	470	1071
305	471	1068
306	472	1065
307	472	1062
308	473	1059
309	474	1056
310	475	1052
311	475	1049
312	476	1046
313	477	1043
314	478	1040
315	479	1036
316	479	1033
317	480	1030
318	481	1027
319	482	1024
320	482	1021
321	483	1018
322	484	1015
323	485	1012
324	486	1009
325	486	1006
326	487	1003
327	488	1001
328	489	998
329	490	995
330	491	992
331	491	989
332	492	986
333	493	983
334	494	981
335	495	978
336	495	975
337	496	972
338	497	969
339	498	967
340	499	964
341	499	961
342	500	958
343	501	956
344	502	953
345	503	950
346	503	947
347	504	945
348	505	942
349	505	939
350	506	937
351	507	934
352	508	931
353	509	929
354	509	926
355	510	923
356	511	921
357	512	918
358	513	916
359	513	913
360	514	911
361	515	908
362	516	906
363	517	903
364	518	901
365	518	898
366	519	896
367	520	893
368	521	891
369	521	888
370	522	886
371	523	883
372	524	881
373	525	879
374	526	876
375	526	874
376	527	871
377	528	869
378	529	867
379	530	864
380	531	862
381	531	860
382	532	858
383	533	855
384	534	853
385	534	850
386	535	848
387	536	846
388	537	843
389	538	841
390	538	839
391	539	836
392	540	834
393	541	832
394	541	830
395	542	827
396	543	825
397	544	823
398	545	821
399	545	818
400	546	816
401	547	814
402	548	812
403	549	810
404	549	807
405	550	805
406	551	803
407	552	801
408	553	799
409	553	796
410	554	794
411	555	792
412	556	790
413	557	788
414	558	786
415	558	784
416	559	782
417	560	780
418	561	778
419	562	776
420	562	774
421	563	772
422	564	770
423	565	768
424	566	766
425	567	764
426	567	761
427	568	760
428	569	757
429	570	755
430	570	753
431	571	751
432	572	749
433	573	747
434	574	745
435	574	743
436	575	741
437	576	739
438	577	737
439	577	735
440	578	733
441	579	731
442	580	729
443	581	727
444	581	725
445	582	723
446	583	721
447	584	719
448	585	718
449	586	716
450	586	714
451	587	712
452	588	710
453	589	708
454	590	706
455	590	705
456	591	703
457	592	701
458	593	699
459	594	697
460	595	695
461	595	693
462	596	691
463	597	689
464	598	688
465	599	686
466	599	684
467	600	682
468	601	680
469	602	678
470	602	677
471	603	675
472	604	673
473	605	671
474	606	669
475	606	668
476	607	666
477	608	664
478	609	662
479	610	661
480	611	659
481	611	657
482	612	655
483	613	654
484	614	652
485	615	650
486	615	648
487	616	646
488	617	645
489	618	643
490	619	641
491	619	640
492	620	638
493	621	636
494	622	635
495	623	633
496	624	631
497	624	629
498	625	628
499	626	626
500	627	624
501	628	623
502	628	621
503	629	619
504	630	618
505	631	616
506	632	614
507	632	612
508	633	611
509	634	609
510	635	607
511	635	606
512	636	604
513	637	602
514	638	601
515	639	599
516	639	597
517	640	596
518	641	594
519	642	593
520	643	591
521	644	589
522	644	588
523	645	586
524	646	584
525	647	583
526	647	581
527	648	579
528	649	578
529	650	576
530	650	574
531	651	573
532	652	571
533	653	570
534	654	568
535	655	567
536	656	565
537	656	564
538	657	562
539	658	561
540	659	559
541	660	557
542	661	556
543	662	554
544	662	553
545	663	551
546	664	550
547	665	548
548	666	547
549	667	545
550	667	544
551	668	542
552	669	541
553	670	539
554	671	538
555	672	536
556	673	535
557	673	533
558	674	532
559	675	530
560	676	529
561	677	527
562	677	526
563	678	524
564	679	523
565	680	521
566	681	520
567	681	518
568	682	517
569	683	515
570	684	514
571	685	512
572	686	511
573	687	510
574	688	508
575	688	507
576	689	505
577	690	504
578	691	502
579	691	501
580	692	499
581	693	498
582	694	496
583	695	495
584	696	493
585	696	492
586	697	490
587	698	489
588	699	487
589	700	486
590	700	484
591	701	483
592	702	482
593	703	480
594	703	479
595	704	477
596	705	476
597	706	474
598	707	473
599	707	471
600	708	470
601	709	469
602	710	467
603	711	466
604	711	464
605	712	463
606	713	461
607	714	460
608	715	459
609	715	457
610	716	456
611	717	455
612	718	453
613	719	452
614	720	450
615	720	449
616	721	448
617	722	446
618	723	445
619	724	444
620	725	442
621	726	441
622	727	439
623	727	438
624	728	437
625	729	435
626	730	434
627	730	433
628	731	431
629	732	430
630	733	428
631	734	427
632	734	426
633	735	424
634	736	423
635	737	422
636	738	420
637	738	419
638	739	417
639	740	416
640	741	415
641	742	413
642	742	412
643	743	411
644	744	409
645	745	408
646	746	407
647	746	405
648	747	404
649	748	402
650	749	401
651	749	400
652	750	398
653	751	397
654	752	396
655	753	394
656	753	393
657	754	392
658	755	390
659	756	389
660	757	388
661	758	387
662	758	385
663	759	384
664	760	383
665	761	381
666	762	380
667	762	379
668	763	377
669	764	376
670	765	375
671	766	374
672	767	372
673	767	371
674	768	370
675	769	368
676	770	367
677	771	366
678	771	364
679	772	363
680	773	362
681	774	361
682	775	359
683	775	358
684	776	357
685	777	355
686	778	354
687	779	353
688	779	352
689	780	350
690	781	349
691	782	348
692	783	346
